file,blockType,key,legacySection,font,fontStyle,fontSize,bold,italic,legacyFontId,legacyFontComment,knownFontCatalogEntry,needsReview
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.hold_position,Button19,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.filler_button,Button20,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.button,ScrollButton,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.scroll_up,InfoButton0,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.scroll_down,InfoButton1,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.obj,PauseButton0,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.inmissionsave,PauseButton1,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.inmissionload,PauseButton2,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.options,PauseButton3,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.restart_mission,PauseButton4,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.exit,PauseButton5,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.return_to_game,PauseButton6,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiText,game.buttonlayout1280.text.pause_menu_text_header_goes_here,PauseText,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiText,game.buttonlayout1280.text.text_gets_centered_in_this_box_arialnarrow8_all_caps,VideoTextBox,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiText,game.buttonlayout1280.text.text_gets_centered_in_this_box_agencyfb17_all_caps,ResultsTextBox,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiText,game.buttonlayout1280.text.text,ChatTextRect,Agency Regular,Regular,14,false,false,,,true,false
