file,key,legacySection,legacyComment,rect,textKey,visibleText,textLegacyId,textLegacySymbol,textAlign,textAnchor,hasTextRect,font,fontStyle,fontSize,needsReview
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.button,ScrollButton,,"315,876,16,14",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.scroll_up,InfoButton0,scroll up,"315,867,16,8",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.scroll_down,InfoButton1,scroll down,"315,1004,16,8",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.obj,PauseButton0,obj,"1016,372,128,22",legacy.mc2res.43000,OBJECTIVES,43000,IDS_OBJECTIVES,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.inmissionsave,PauseButton1,inmissionsave,"1016,399,128,22",legacy.mc2res.43001,QUICK SAVE,43001,IDS_INMISSION,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.inmissionload,PauseButton2,inmissionload,"1016,426,128,22",legacy.mc2res.43002,QUICK LOAD,43002,IDS_INMISSIONLOAD,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.options,PauseButton3,options,"1016,453,128,22",legacy.mc2res.43003,OPTIONS,43003,IDS_OPTIONS,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.restart_mission,PauseButton4,restart mission,"1016,480,128,22",legacy.mc2res.43004,ABORT MISSION,43004,IDS_RESTART,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.exit,PauseButton5,exit,"1016,507,128,22",legacy.mc2res.43005,EXIT GAME,43005,IDS_EXIT,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.return_to_game,PauseButton6,return to game,"1016,534,128,22",legacy.mc2res.43006,RETURN TO GAME,43006,IDS_RETURN_TOGAME,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.default_attack_defunct,Button0,default attack- DEFUNCT,"1172,1027,64,40",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.short_range_attack_defunct,Button1,short range attack DEFUNCT,"1240,1027,64,40",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.medium_attack_defunct,Button2,medium attack  DEFUNCT,"1172,1071,64,40",,,,,center,center,false,Agency Regular,Regular,14,false
